,question,response,answer,p_true,true_answer,correct
1161,Rofecoxib was withdrawn due to:,"Rofecoxib is a COX-2 inhibitor, a type of drug known to increase the risk of cardiovascular events.  

The primary reason for its withdrawal from the market was a significant increase in **ischemic heart disease**  (heart attacks) observed in clinical trials. 

The final answer is A. 
",A,0.9916893115910388,A,True
1162,The classical lobute of the liver is centred around,"The classical lobule of the liver is structured around the **central vein**.  

Here's why:

* **Liver lobules** are the functional units of the liver. They have a hexagonal shape.
* The **central vein** is located in the center of each lobule. Blood flows into the lobule through portal triads (containing branches of the hepatic artery, portal vein, and bile duct) and then through sinusoids towards the central vein. 
* The central vein collects the blood and carries it out of the lobule to larger hepatic veins.

The other options are incorrect because they are not the central organizing structure of the lobule.


The final answer is C. 
",C,0.9999995335259477,C,True
1163,Males have deeper voice when compared to females because of:,"The correct answer is **B: Increased vibration due to testosterone**. Here's why:

* **Testosterone** plays a crucial role in the development of male characteristics, including vocal cords.  During puberty, testosterone causes the vocal cords to thicken and lengthen. 

* **Thicker vocal cords** vibrate at a lower frequency, producing a lower-pitched sound. This is what results in the deeper voice commonly associated with males.

Let's look at why the other options are incorrect:

* **A: Long vocal cord:** While vocal cord length does contribute to pitch, it's the thickness that's primarily influenced by testosterone.
* **C: Infrahyoid position of larynx:** The position of the larynx (voice box) in the neck doesn't directly cause a difference in pitch between sexes.
* **D: Thickened arytenoids:** The arytenoid cartilages are involved in vocal cord movement but aren't the primary factor determining pitch differences. 


The final answer is **B**. 
",,0.9999946978369452,A,
1164,Which is the most preferred method to manage the case of an apprehensive 7 year old child having a history of unpleasant experience with dental treatment?,"The most preferred method to manage an apprehensive child with a history of negative dental experiences is **C: Desensitization**. Here's why:

* **Desensitization** involves gradually introducing the child to dental procedures and environments in a positive and controlled manner. This helps build trust and reduces anxiety over time.

Let's look at the other options:

* **A: Voice control**  is generally not an effective or appropriate method for managing anxiety in children.
* **B: Premedication**  can be helpful in some cases, but it's a medical intervention and should be considered after exploring other, less invasive options like desensitization.
* **D: Postponing the appointment**  might seem like a solution, but it can actually worsen anxiety in the long run.

**The final answer is C.** 
",C,0.9999967800910516,C,True
1165,I.R.I.S. is:,"The correct answer is **C: Immune reconstitution inflammatory syndrome**.  

I.R.I.S. is a well-known medical acronym that stands for Immune Reconstitution Inflammatory Syndrome.  It's a complex condition that can occur in individuals with weakened immune systems, particularly after starting treatment to restore their immune function.  


The final answer is C.",C,0.9999988524020386,C,True
1166,Commonest site of occurrence of chondroblastoma,"Chondroblastoma is a benign bone tumor that most commonly occurs in the **diaphysis** (shaft) of long bones.  

Of the given options, the **proximal tibia** is the most likely site for chondroblastoma.

The final answer is D. 
",D,0.9998478414975968,D,True
1167,Volkmann's ischaemic contracture mostly involves,"Volkmann's ischemic contracture is a condition caused by prolonged compression of the blood vessels in the forearm, leading to muscle damage and contracture. 

The muscles most commonly affected are the **flexor muscles** of the forearm.  Out of the options provided, the muscle most commonly involved in Volkmann's contracture is:

**C: Flexor digitorum profundus** 


The final answer is C. 
",C,0.9958047672648268,C,True
1168,The metabolic dearrangement in congenital pyloric stenosis is,"Congenital pyloric stenosis causes a blockage in the stomach's outlet, leading to persistent vomiting.  This vomiting leads to a loss of hydrochloric acid (HCl), which is a source of chloride ions (Cl-) and hydrogen ions (H+).

Here's the breakdown:

* **Loss of HCl:**  Vomiting depletes the body of chloride ions.
* **Bicarbonate (HCO3-) Retention:** The body attempts to compensate for the loss of H+ by retaining bicarbonate ions.

This combination results in a **hypochloremic alkalosis**.

The final answer is **A**. 


",,0.9995965313103564,A,
1169,Which of the following is not used for routine faecal culture,"Here's the reasoning:

* **Routine fecal cultures** are used to identify bacteria present in stool samples, often to diagnose infections. 

Let's look at the options:

* **A: DCA (Difco Crystal Violet Agar):** This is used to selectively isolate *Salmonella* and *Shigella* species, commonly found in fecal samples.
* **B: MacConkey Agar:** This is a selective and differential medium used to isolate gram-negative bacteria, many of which are found in the gut.
* **C: Tellurite blood agar:**  This medium is specifically used to isolate *Corynebacterium diphtheriae*, a bacterium that causes diphtheria, and is not routinely used for general fecal cultures.
* **D: Blood agar:** This is a general purpose medium that supports the growth of a wide range of bacteria, including those commonly found in fecal samples.

**The final answer is C** 


",C,0.9999954117534962,C,True
1170,Inhaled forgein body usually lodges in the:,"Inhaled foreign bodies most commonly lodge in the right lower lobe of the lung. This is due to the slightly wider and shorter right main bronchus.  

The final answer is B. 
",B,0.9999904789970763,B,True
1171,"A patient with previously diagnosed lung cancer develops a large pleural effusion. The effusion is tapped and demonstrates an unusual milky white fluid that upon standing, separates into a thin white layer over a thicker clear layer. The lipid content of the fluid is high. This is most likely an example of which of the following?","The milky white fluid that separates into layers, with a high lipid content, strongly suggests a **chylous effusion**. 

Here's why:

* **Chylous effusions** are caused by leakage of lymph fluid, which is rich in lipids (fats), into the pleural space. This gives the fluid its milky white appearance. The separation into layers is due to the different densities of the fat and the rest of the fluid.

Let's look at why the other options are less likely:

* **Exudate:** While exudates can be cloudy, they don't typically have the characteristic milky white appearance and layering seen in this case. Exudates are caused by inflammation and have a higher protein content than chylous effusions.
* **Fibrinous pleuritis** and **Fibrous pleuritis:** These conditions involve inflammation of the pleura, but they don't typically result in a milky white, lipid-rich effusion.

The final answer is A. 


",A,0.9999954065213438,A,True
1172,Following are the features of inhibin except :,"Here's the breakdown:

* **Inhibin** is a hormone that primarily acts to suppress the secretion of follicle-stimulating hormone (FSH). 

Let's analyze the options:

* **A: Non steroidal water soluble protein:** This is true. Inhibin is a protein hormone and dissolves in water.
* **B: Secreted by Graafian follicle:** This is also true. The Graafian follicle (mature follicle) in the ovary is a major source of inhibin.
* **C: Stimulates FSH secretion:** This is **incorrect**. Inhibin's primary function is to *inhibit* (reduce) FSH secretion.
* **D: Increased secretion of inhibin occurs in polycystic ovarian disease:** This is true. In polycystic ovarian disease, there is often an increased production of androgens, which can lead to elevated inhibin levels.

**The final answer is C** 
",C,0.9999912911214859,C,True
